STT,ID Nhà cung cấp,Tên công ty,Email,Điện thoại,Tỷ lệ hoa hồng (%),Số lượng booking,Tổng số tiền cần thanh toán (VND),Ghi chú
1,1,"Vietnam Adventures Co.","supplier@example.com","+84 902345678",15,381,"2,340,818,089,113","Tổng số tiền cần thanh toán cho 381 booking(s)"
2,2,"avdb","customer3@example.com","+84 905678908",15,175,"1,792,454,713","Tổng số tiền cần thanh toán cho 175 booking(s)"
3,3,"Blue Sky Travel Agency","supplier01@example.com","+84 902234001",19.14,131,"1,190,321,664","Tổng số tiền cần thanh toán cho 131 booking(s)"
4,4,"Explore Vietnam Travel","supplier02@example.com","+84 902234002",16.32,142,"1,379,395,346","Tổng số tiền cần thanh toán cho 142 booking(s)"
5,5,"Luxury Travel Experience","supplier03@example.com","+84 902234003",11.59,137,"1,537,090,734","Tổng số tiền cần thanh toán cho 137 booking(s)"
6,6,"Beach Paradise Travel","supplier04@example.com","+84 902234004",15,154,"1,110,160,138","Tổng số tiền cần thanh toán cho 154 booking(s)"
7,7,"Mountain View Tours","supplier05@example.com","+84 902234005",15.06,167,"1,641,234,251","Tổng số tiền cần thanh toán cho 167 booking(s)"
8,8,"Golden Gate Adventures","supplier06@example.com","+84 902234006",13.7,147,"1,561,137,011","Tổng số tiền cần thanh toán cho 147 booking(s)"
9,9,"Beach Paradise Travel","supplier07@example.com","+84 902234007",15.22,134,"1,175,304,292","Tổng số tiền cần thanh toán cho 134 booking(s)"
10,10,"Adventure Tours Co.","supplier08@example.com","+84 902234008",11.16,162,"1,597,516,882","Tổng số tiền cần thanh toán cho 162 booking(s)"
11,11,"Adventure Tours Co.","supplier09@example.com","+84 902234009",15.79,152,"1,617,926,309","Tổng số tiền cần thanh toán cho 152 booking(s)"
12,12,"Luxury Travel Experience","supplier10@example.com","+84 902234010",11.55,163,"1,501,645,723","Tổng số tiền cần thanh toán cho 163 booking(s)"
13,13,"Beach Paradise Travel","supplier11@example.com","+84 902234011",18.54,133,"1,340,757,268","Tổng số tiền cần thanh toán cho 133 booking(s)"
14,14,"Golden Gate Adventures","supplier12@example.com","+84 902234012",18.87,145,"1,557,651,987","Tổng số tiền cần thanh toán cho 145 booking(s)"
15,15,"Ocean Breeze Adventures","supplier13@example.com","+84 902234013",16.8,183,"2,062,837,296","Tổng số tiền cần thanh toán cho 183 booking(s)"
16,16,"Mystic Journey Tours","supplier14@example.com","+84 902234014",14.89,174,"1,794,737,124","Tổng số tiền cần thanh toán cho 174 booking(s)"
17,17,"Beach Paradise Travel","supplier15@example.com","+84 902234015",10.68,168,"1,787,703,625","Tổng số tiền cần thanh toán cho 168 booking(s)"

TỔNG CỘNG,,,,,2848 booking(s),"2,365,465,963,475","Tổng số tiền cần thanh toán cho tất cả nhà cung cấp"

CHI TIẾT TỪNG BOOKING
STT,ID Nhà cung cấp,Tên công ty,Booking ID,Booking Ref,Tổng tiền booking (VND),Số tiền cần thanh toán (VND)
37,1,"Vietnam Adventures Co.",2499,"BK00002182","10,814,000","9,191,900"
38,1,"Vietnam Adventures Co.",2496,"BK00002179","2,434,000","2,068,900"
39,1,"Vietnam Adventures Co.",2490,"BK00002173","9,000,000","7,650,000"
40,1,"Vietnam Adventures Co.",2487,"BK00002170","3,338,500","2,837,725"
41,1,"Vietnam Adventures Co.",2466,"BK00002149","20,247,750","17,210,588"
42,1,"Vietnam Adventures Co.",2458,"BK00002141","29,376,000","24,969,600"
43,1,"Vietnam Adventures Co.",2453,"BK00002136","500,000","425,000"
44,1,"Vietnam Adventures Co.",2444,"BK00002127","24,725,000","21,016,250"
45,1,"Vietnam Adventures Co.",489,"BK00000172","45,000,000,000","38,250,000,000"
46,1,"Vietnam Adventures Co.",2413,"BK00002096","7,077,500","6,015,875"
47,1,"Vietnam Adventures Co.",2398,"BK00002081","750,000,000","637,500,000"
48,1,"Vietnam Adventures Co.",2391,"BK00002074","1,000,000,000","850,000,000"
49,1,"Vietnam Adventures Co.",2388,"BK00002071","200,000","170,000"
50,1,"Vietnam Adventures Co.",2322,"BK00002005","10,000,000,000","8,500,000,000"
51,1,"Vietnam Adventures Co.",2320,"BK00002003","999,550,000","849,617,500"
52,1,"Vietnam Adventures Co.",2308,"BK00001991","7,960,500","6,766,425"
53,1,"Vietnam Adventures Co.",2274,"BK00001957","17,738,750","15,077,938"
54,1,"Vietnam Adventures Co.",2260,"BK00001943","20,222,750","17,189,338"
55,1,"Vietnam Adventures Co.",2254,"BK00001937","1,975,000","1,678,750"
56,1,"Vietnam Adventures Co.",2237,"BK00001920","5,607,000","4,765,950"
57,1,"Vietnam Adventures Co.",2217,"BK00001900","2,803,500","2,382,975"
58,1,"Vietnam Adventures Co.",2216,"BK00001899","500,000,000","425,000,000"
59,1,"Vietnam Adventures Co.",12,"BK1007","3,925,000","3,336,250"
60,1,"Vietnam Adventures Co.",2210,"BK00001893","750,000,000","637,500,000"
61,1,"Vietnam Adventures Co.",2203,"BK00001886","375,000","318,750"
62,1,"Vietnam Adventures Co.",523,"BK00000206","6,065,000","5,155,250"
63,1,"Vietnam Adventures Co.",2193,"BK00001876","3,941,000","3,349,850"
64,1,"Vietnam Adventures Co.",2189,"BK00001872","5,434,000","4,618,900"
65,1,"Vietnam Adventures Co.",2178,"BK00001861","13,585,000","11,547,250"
66,1,"Vietnam Adventures Co.",2150,"BK00001833","750,000","637,500"
67,1,"Vietnam Adventures Co.",2140,"BK00001823","17,672,250","15,021,413"
68,1,"Vietnam Adventures Co.",2122,"BK00001805","2,893,000","2,459,050"
69,1,"Vietnam Adventures Co.",2111,"BK00001794","12,715,000","10,807,750"
70,1,"Vietnam Adventures Co.",2107,"BK00001790","25,865,000","21,985,250"
71,1,"Vietnam Adventures Co.",2097,"BK00001780","13,498,500","11,473,725"
72,1,"Vietnam Adventures Co.",2079,"BK00001762","12,362,500","10,508,125"
73,1,"Vietnam Adventures Co.",2075,"BK00001758","2,475,750","2,104,388"
74,1,"Vietnam Adventures Co.",2073,"BK00001756","3,113,250","2,646,263"
75,1,"Vietnam Adventures Co.",2063,"BK00001746","5,011,000","4,259,350"
76,1,"Vietnam Adventures Co.",13,"BK1008","6,975,000","5,928,750"
77,1,"Vietnam Adventures Co.",14,"BK1009","11,400,000","9,690,000"
78,1,"Vietnam Adventures Co.",2054,"BK00001737","32,325,000","27,476,250"
79,1,"Vietnam Adventures Co.",2031,"BK00001714","13,585,000","11,547,250"
80,1,"Vietnam Adventures Co.",557,"BK00000240","13,148,500","11,176,225"
81,1,"Vietnam Adventures Co.",558,"BK00000241","10,643,250","9,046,763"
82,1,"Vietnam Adventures Co.",559,"BK00000242","10,643,250","9,046,763"
83,1,"Vietnam Adventures Co.",560,"BK00000243","23,548,000","20,015,800"
84,1,"Vietnam Adventures Co.",2005,"BK00001688","50,000","42,500"
85,1,"Vietnam Adventures Co.",15,"BK1010","13,475,000","11,453,750"
86,1,"Vietnam Adventures Co.",1941,"BK00001624","6,677,000","5,675,450"
87,1,"Vietnam Adventures Co.",569,"BK00000252","10,853,000","9,225,050"
88,1,"Vietnam Adventures Co.",1939,"BK00001622","6,919,000","5,881,150"
89,1,"Vietnam Adventures Co.",572,"BK00000255","23,046,250","19,589,313"
90,1,"Vietnam Adventures Co.",1906,"BK00001589","4,151,000","3,528,350"
91,1,"Vietnam Adventures Co.",1903,"BK00001586","4,320,750","3,672,638"
92,1,"Vietnam Adventures Co.",1887,"BK00001570","1,249,700,000","1,062,245,000"
93,1,"Vietnam Adventures Co.",1886,"BK00001569","7,232,500","6,147,625"
94,1,"Vietnam Adventures Co.",1868,"BK00001551","1,844,250","1,567,613"
95,1,"Vietnam Adventures Co.",1860,"BK00001543","5,086,000","4,323,100"
96,1,"Vietnam Adventures Co.",1827,"BK00001510","250,000,000","212,500,000"
97,1,"Vietnam Adventures Co.",1824,"BK00001507","6,000,000","5,100,000"
98,1,"Vietnam Adventures Co.",1789,"BK00001472","23,548,000","20,015,800"
99,1,"Vietnam Adventures Co.",1782,"BK00001465","750,000,000","637,500,000"
100,1,"Vietnam Adventures Co.",591,"BK00000274","18,543,750","15,762,188"
101,1,"Vietnam Adventures Co.",1765,"BK00001448","12,000,000","10,200,000"
102,1,"Vietnam Adventures Co.",1755,"BK00001438","8,750,000","7,437,500"
103,1,"Vietnam Adventures Co.",16,"BK1011","18,075,000","15,363,750"
104,1,"Vietnam Adventures Co.",1,"BK001","6,000,000","5,100,000"
105,1,"Vietnam Adventures Co.",901,"BK00000584","5,607,000","4,765,950"
106,1,"Vietnam Adventures Co.",1705,"BK00001388","20,816,500","17,694,025"
107,1,"Vietnam Adventures Co.",1670,"BK00001353","5,607,000","4,765,950"
108,1,"Vietnam Adventures Co.",1667,"BK00001350","11,406,500","9,695,525"
109,1,"Vietnam Adventures Co.",17,"BK1012","6,600,000","5,610,000"
110,1,"Vietnam Adventures Co.",1643,"BK00001326","5,086,000","4,323,100"
111,1,"Vietnam Adventures Co.",612,"BK00000295","19,395,000","16,485,750"
112,1,"Vietnam Adventures Co.",1616,"BK00001299","20,072,750","17,061,838"
113,1,"Vietnam Adventures Co.",1611,"BK00001294","18,543,750","15,762,188"
114,1,"Vietnam Adventures Co.",1607,"BK00001290","1,000,000","850,000"
115,1,"Vietnam Adventures Co.",1589,"BK00001272","3,215,000","2,732,750"
116,1,"Vietnam Adventures Co.",1578,"BK00001261","1,970,500","1,674,925"
117,1,"Vietnam Adventures Co.",18,"BK1013","10,350,000","8,797,500"
118,1,"Vietnam Adventures Co.",629,"BK00000312","5,911,500","5,024,775"
119,1,"Vietnam Adventures Co.",1554,"BK00001237","525,000","446,250"
120,1,"Vietnam Adventures Co.",19,"BK1014","16,975,000","14,428,750"
121,1,"Vietnam Adventures Co.",1512,"BK00001195","4,664,250","3,964,613"
122,1,"Vietnam Adventures Co.",1508,"BK00001191","1,540,250","1,309,213"
123,1,"Vietnam Adventures Co.",21,"BK1016","6,525,000","5,546,250"
124,1,"Vietnam Adventures Co.",1497,"BK00001180","13,992,750","11,893,838"
125,1,"Vietnam Adventures Co.",646,"BK00000329","26,847,000","22,819,950"
126,1,"Vietnam Adventures Co.",1472,"BK00001155","21,166,500","17,991,525"
127,1,"Vietnam Adventures Co.",648,"BK00000331","24,999,650,000","21,249,702,500"
128,1,"Vietnam Adventures Co.",1468,"BK00001151","250,000","212,500"
129,1,"Vietnam Adventures Co.",1442,"BK00001125","7,701,250","6,546,063"
130,1,"Vietnam Adventures Co.",24,"BK1019","18,850,000","16,022,500"
131,1,"Vietnam Adventures Co.",1410,"BK00001093","11,249,950,000","9,562,457,500"
132,1,"Vietnam Adventures Co.",1399,"BK00001082","20,000,000,000","17,000,000,000"
133,1,"Vietnam Adventures Co.",1397,"BK00001080","4,246,500","3,609,525"
134,1,"Vietnam Adventures Co.",1396,"BK00001079","1,540,250","1,309,213"
135,1,"Vietnam Adventures Co.",663,"BK00000346","12,455,000","10,586,750"
136,1,"Vietnam Adventures Co.",664,"BK00000347","3,000,000","2,550,000"
137,1,"Vietnam Adventures Co.",1372,"BK00001055","500,000","425,000"
138,1,"Vietnam Adventures Co.",1361,"BK00001044","12,409,000","10,547,650"
139,1,"Vietnam Adventures Co.",1355,"BK00001038","4,822,500","4,099,125"
140,1,"Vietnam Adventures Co.",1337,"BK00001020","11,449,000","9,731,650"
141,1,"Vietnam Adventures Co.",25,"BK1020","6,350,000","5,397,500"
142,1,"Vietnam Adventures Co.",1317,"BK00001000","29,376,000","24,969,600"
143,1,"Vietnam Adventures Co.",677,"BK00000360","374,999,625,000","318,749,681,250"
144,1,"Vietnam Adventures Co.",1298,"BK00000981","4,422,500","3,759,125"
145,1,"Vietnam Adventures Co.",1291,"BK00000974","14,191,000","12,062,350"
146,1,"Vietnam Adventures Co.",1276,"BK00000959","6,181,250","5,254,063"
147,1,"Vietnam Adventures Co.",1257,"BK00000940","10,868,000","9,237,800"
148,1,"Vietnam Adventures Co.",1237,"BK00000920","4,221,500","3,588,275"
149,1,"Vietnam Adventures Co.",693,"BK00000376","12,930,000","10,990,500"
150,1,"Vietnam Adventures Co.",1202,"BK00000885","14,191,000","12,062,350"
151,1,"Vietnam Adventures Co.",696,"BK00000379","2,831,000","2,406,350"
152,1,"Vietnam Adventures Co.",1195,"BK00000878","25,000,000,000","21,250,000,000"
153,1,"Vietnam Adventures Co.",1194,"BK00000877","5,550,000","4,717,500"
154,1,"Vietnam Adventures Co.",1184,"BK00000867","249,525,000","212,096,250"
155,1,"Vietnam Adventures Co.",702,"BK00000385","13,423,500","11,409,975"
156,1,"Vietnam Adventures Co.",1181,"BK00000864","2,750,750","2,338,138"
157,1,"Vietnam Adventures Co.",1159,"BK00000842","15,519,000","13,191,150"
158,1,"Vietnam Adventures Co.",1154,"BK00000837","225,000,000,000","191,250,000,000"
159,1,"Vietnam Adventures Co.",1137,"BK00000820","18,138,500","15,417,725"
160,1,"Vietnam Adventures Co.",1134,"BK00000817","11,249,800,000","9,562,330,000"
161,1,"Vietnam Adventures Co.",712,"BK00000395","1,415,500","1,203,175"
162,1,"Vietnam Adventures Co.",1111,"BK00000794","22,499,575,000","19,124,638,750"
163,1,"Vietnam Adventures Co.",1083,"BK00000766","22,500,000,000","19,125,000,000"
164,1,"Vietnam Adventures Co.",1082,"BK00000765","250,000","212,500"
165,1,"Vietnam Adventures Co.",1068,"BK00000751","19,081,500","16,219,275"
166,1,"Vietnam Adventures Co.",1056,"BK00000739","12,500,000,000","10,625,000,000"
167,1,"Vietnam Adventures Co.",1033,"BK00000716","25,000,000,000","21,250,000,000"
168,1,"Vietnam Adventures Co.",1027,"BK00000710","3,916,000","3,328,600"
169,1,"Vietnam Adventures Co.",736,"BK00000419","25,217,000","21,434,450"
170,1,"Vietnam Adventures Co.",1025,"BK00000708","44,999,800,000","38,249,830,000"
171,1,"Vietnam Adventures Co.",1015,"BK00000698","25,000,000,000","21,250,000,000"
172,1,"Vietnam Adventures Co.",26,"BK1021","4,050,000","3,442,500"
173,1,"Vietnam Adventures Co.",1008,"BK00000691","5,662,000","4,812,700"
174,1,"Vietnam Adventures Co.",743,"BK00000426","9,852,500","8,374,625"
175,1,"Vietnam Adventures Co.",1002,"BK00000685","749,600,000","637,160,000"
176,1,"Vietnam Adventures Co.",961,"BK00000644","375,000,000,000","318,750,000,000"
177,1,"Vietnam Adventures Co.",924,"BK00000607","24,725,000","21,016,250"
178,1,"Vietnam Adventures Co.",911,"BK00000594","33,126,250","28,157,313"
179,1,"Vietnam Adventures Co.",27,"BK1022","13,850,000","11,772,500"
180,1,"Vietnam Adventures Co.",880,"BK00000563","32,325,000","27,476,250"
181,1,"Vietnam Adventures Co.",874,"BK00000557","20,000,000,000","17,000,000,000"
182,1,"Vietnam Adventures Co.",855,"BK00000538","9,000,000","7,650,000"
183,1,"Vietnam Adventures Co.",853,"BK00000536","2,743,500","2,331,975"
184,1,"Vietnam Adventures Co.",849,"BK00000532","15,000,000,000","12,750,000,000"
185,1,"Vietnam Adventures Co.",844,"BK00000527","12,696,000","10,791,600"
186,1,"Vietnam Adventures Co.",834,"BK00000517","1,844,250","1,567,613"
187,1,"Vietnam Adventures Co.",828,"BK00000511","33,750,000,000","28,687,500,000"
188,1,"Vietnam Adventures Co.",803,"BK00000486","1,804,000","1,533,400"
189,1,"Vietnam Adventures Co.",792,"BK00000475","1,419,250","1,206,363"
190,1,"Vietnam Adventures Co.",778,"BK00000461","18,613,500","15,821,475"
191,1,"Vietnam Adventures Co.",29,"BK1024","6,900,000","5,865,000"
192,1,"Vietnam Adventures Co.",30,"BK1025","21,600,000","18,360,000"
193,1,"Vietnam Adventures Co.",33,"BK1028","2,825,000","2,401,250"
194,1,"Vietnam Adventures Co.",35,"BK1030","2,150,000","1,827,500"
195,1,"Vietnam Adventures Co.",36,"BK1031","11,100,000","9,435,000"
196,1,"Vietnam Adventures Co.",38,"BK1033","11,800,000","10,030,000"
197,1,"Vietnam Adventures Co.",41,"BK1036","8,250,000","7,012,500"
198,1,"Vietnam Adventures Co.",42,"BK1037","16,600,000","14,110,000"
199,1,"Vietnam Adventures Co.",44,"BK1039","2,425,000","2,061,250"
200,1,"Vietnam Adventures Co.",45,"BK1040","4,125,000","3,506,250"
201,1,"Vietnam Adventures Co.",46,"BK1041","2,900,000","2,465,000"
202,1,"Vietnam Adventures Co.",47,"BK1042","2,925,000","2,486,250"
203,1,"Vietnam Adventures Co.",48,"BK1043","9,275,000","7,883,750"
204,1,"Vietnam Adventures Co.",49,"BK1044","17,700,000","15,045,000"
205,1,"Vietnam Adventures Co.",50,"BK1045","19,275,000","16,383,750"
206,1,"Vietnam Adventures Co.",51,"BK1046","6,800,000","5,780,000"
207,1,"Vietnam Adventures Co.",53,"BK1048","19,525,000","16,596,250"
208,1,"Vietnam Adventures Co.",54,"BK1049","26,875,000","22,843,750"
209,1,"Vietnam Adventures Co.",55,"BK1050","18,975,000","16,128,750"
210,1,"Vietnam Adventures Co.",56,"BK1051","30,675,000","26,073,750"
211,1,"Vietnam Adventures Co.",57,"BK1052","13,000,000","11,050,000"
212,1,"Vietnam Adventures Co.",59,"BK1054","23,000,000","19,550,000"
213,1,"Vietnam Adventures Co.",62,"BK1057","2,500,000","2,125,000"
214,1,"Vietnam Adventures Co.",64,"BK1059","13,750,000","11,687,500"
215,1,"Vietnam Adventures Co.",65,"BK1060","16,650,000","14,152,500"
216,1,"Vietnam Adventures Co.",68,"BK1063","4,275,000","3,633,750"
217,1,"Vietnam Adventures Co.",69,"BK1064","12,000,000","10,200,000"
218,1,"Vietnam Adventures Co.",71,"BK1066","4,400,000","3,740,000"
219,1,"Vietnam Adventures Co.",74,"BK1069","10,575,000","8,988,750"
220,1,"Vietnam Adventures Co.",75,"BK1070","21,700,000","18,445,000"
221,1,"Vietnam Adventures Co.",81,"BK1076","31,675,000","26,923,750"
222,1,"Vietnam Adventures Co.",83,"BK1078","5,625,000","4,781,250"
223,1,"Vietnam Adventures Co.",85,"BK1080","15,250,000","12,962,500"
224,1,"Vietnam Adventures Co.",86,"BK1081","2,550,000","2,167,500"
225,1,"Vietnam Adventures Co.",89,"BK1084","2,200,000","1,870,000"
226,1,"Vietnam Adventures Co.",91,"BK1086","13,875,000","11,793,750"
227,1,"Vietnam Adventures Co.",92,"BK1087","21,300,000","18,105,000"
228,1,"Vietnam Adventures Co.",94,"BK1089","6,575,000","5,588,750"
229,1,"Vietnam Adventures Co.",96,"BK1091","19,100,000","16,235,000"
230,1,"Vietnam Adventures Co.",99,"BK1094","12,000,000","10,200,000"
231,1,"Vietnam Adventures Co.",102,"BK1097","11,875,000","10,093,750"
232,1,"Vietnam Adventures Co.",107,"BK1102","6,750,000","5,737,500"
233,1,"Vietnam Adventures Co.",110,"BK1105","5,300,000","4,505,000"
234,1,"Vietnam Adventures Co.",111,"BK1106","8,900,000","7,565,000"
235,1,"Vietnam Adventures Co.",112,"BK1107","22,700,000","19,295,000"
236,1,"Vietnam Adventures Co.",113,"BK1108","1,600,000","1,360,000"
237,1,"Vietnam Adventures Co.",114,"BK1109","24,800,000","21,080,000"
238,1,"Vietnam Adventures Co.",115,"BK1110","11,100,000","9,435,000"
239,1,"Vietnam Adventures Co.",116,"BK1111","4,275,000","3,633,750"
240,1,"Vietnam Adventures Co.",118,"BK1113","12,700,000","10,795,000"
241,1,"Vietnam Adventures Co.",119,"BK1114","3,025,000","2,571,250"
242,1,"Vietnam Adventures Co.",122,"BK1117","11,550,000","9,817,500"
243,1,"Vietnam Adventures Co.",123,"BK1118","2,100,000","1,785,000"
244,1,"Vietnam Adventures Co.",124,"BK1119","21,225,000","18,041,250"
245,1,"Vietnam Adventures Co.",130,"BK1125","9,250,000","7,862,500"
246,1,"Vietnam Adventures Co.",133,"BK1128","24,000,000","20,400,000"
247,1,"Vietnam Adventures Co.",135,"BK1130","8,850,000","7,522,500"
248,1,"Vietnam Adventures Co.",138,"BK1133","16,125,000","13,706,250"
249,1,"Vietnam Adventures Co.",141,"BK1136","14,475,000","12,303,750"
250,1,"Vietnam Adventures Co.",142,"BK1137","3,725,000","3,166,250"
251,1,"Vietnam Adventures Co.",143,"BK1138","21,225,000","18,041,250"
252,1,"Vietnam Adventures Co.",145,"BK1140","14,925,000","12,686,250"
253,1,"Vietnam Adventures Co.",147,"BK1142","1,725,000","1,466,250"
254,1,"Vietnam Adventures Co.",150,"BK1145","8,800,000","7,480,000"
255,1,"Vietnam Adventures Co.",153,"BK1148","2,275,000","1,933,750"
256,1,"Vietnam Adventures Co.",155,"BK1150","19,875,000","16,893,750"
257,1,"Vietnam Adventures Co.",156,"BK1151","11,850,000","10,072,500"
258,1,"Vietnam Adventures Co.",157,"BK1152","19,125,000","16,256,250"
259,1,"Vietnam Adventures Co.",158,"BK1153","3,400,000","2,890,000"
260,1,"Vietnam Adventures Co.",159,"BK1154","4,100,000","3,485,000"
261,1,"Vietnam Adventures Co.",161,"BK1156","10,800,000","9,180,000"
262,1,"Vietnam Adventures Co.",163,"BK1158","4,700,000","3,995,000"
263,1,"Vietnam Adventures Co.",164,"BK1159","1,775,000","1,508,750"
264,1,"Vietnam Adventures Co.",165,"BK1160","30,625,000","26,031,250"
265,1,"Vietnam Adventures Co.",168,"BK1163","5,000,000","4,250,000"
266,1,"Vietnam Adventures Co.",171,"BK1166","35,625,000","30,281,250"
267,1,"Vietnam Adventures Co.",172,"BK1167","11,775,000","10,008,750"
268,1,"Vietnam Adventures Co.",173,"BK1168","27,400,000","23,290,000"
269,1,"Vietnam Adventures Co.",176,"BK1171","15,600,000","13,260,000"
270,1,"Vietnam Adventures Co.",177,"BK1172","11,875,000","10,093,750"
271,1,"Vietnam Adventures Co.",180,"BK1175","5,650,000","4,802,500"
272,1,"Vietnam Adventures Co.",183,"BK1178","10,500,000","8,925,000"
273,1,"Vietnam Adventures Co.",184,"BK1179","1,150,000","977,500"
274,1,"Vietnam Adventures Co.",185,"BK1180","3,100,000","2,635,000"
